"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","458","618","45.800000000000004","61.8"
"scientific reasoning","122","87","80","71.31147540983606","65.57377049180327"
"textbook question answering","158","99","112","62.65822784810127","70.88607594936708"
"numeric commonsense","144","39","65","27.083333333333332","45.13888888888889"
"arithmetic reasoning","353","98","207","27.762039660056658","58.640226628895185"
"visual question answering","179","92","86","51.39664804469274","48.04469273743017"
"geometry reasoning","239","149","148","62.34309623430963","61.92468619246861"
"algebraic reasoning","281","176","176","62.63345195729537","62.63345195729537"
"geometry problem solving","208","141","126","67.78846153846155","60.57692307692307"
"math word problem","186","22","130","11.827956989247312","69.89247311827957"
"logical reasoning","37","14","16","37.83783783783784","43.24324324324324"
"figure question answering","269","104","164","38.66171003717472","60.966542750929364"
"statistical reasoning","301","104","208","34.55149501661129","69.10299003322258"
