"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","541","726","54.1","72.6"
"scientific reasoning","122","94","78","77.04918032786885","63.934426229508205"
"textbook question answering","158","107","107","67.72151898734177","67.72151898734177"
"numeric commonsense","144","39","73","27.083333333333332","50.69444444444444"
"arithmetic reasoning","353","100","239","28.328611898016998","67.70538243626062"
"visual question answering","179","92","105","51.39664804469274","58.659217877094974"
"geometry reasoning","239","212","182","88.70292887029288","76.15062761506276"
"algebraic reasoning","281","239","209","85.05338078291815","74.37722419928826"
"geometry problem solving","208","203","164","97.59615384615384","78.84615384615384"
"math word problem","186","22","160","11.827956989247312","86.02150537634408"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","117","190","43.49442379182156","70.63197026022306"
"statistical reasoning","301","107","241","35.548172757475086","80.06644518272425"
