"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","589","352","58.9","35.199999999999996"
"scientific reasoning","122","93","54","76.22950819672131","44.26229508196721"
"textbook question answering","158","106","74","67.08860759493672","46.835443037974684"
"numeric commonsense","144","44","40","30.555555555555557","27.77777777777778"
"arithmetic reasoning","353","112","102","31.728045325779036","28.89518413597734"
"visual question answering","179","96","69","53.63128491620112","38.547486033519554"
"geometry reasoning","239","212","50","88.70292887029288","20.920502092050206"
"algebraic reasoning","281","239","70","85.05338078291815","24.91103202846975"
"geometry problem solving","208","203","39","97.59615384615384","18.75"
"math word problem","186","31","38","16.666666666666664","20.43010752688172"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","153","132","56.877323420074354","49.07063197026022"
"statistical reasoning","301","143","143","47.50830564784053","47.50830564784053"
