"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","581","313","58.099999999999994","31.3"
"scientific reasoning","122","94","45","77.04918032786885","36.885245901639344"
"textbook question answering","158","107","58","67.72151898734177","36.708860759493675"
"numeric commonsense","144","44","42","30.555555555555557","29.166666666666668"
"arithmetic reasoning","353","133","115","37.6770538243626","32.577903682719544"
"visual question answering","179","98","70","54.7486033519553","39.10614525139665"
"geometry reasoning","239","213","75","89.1213389121339","31.380753138075313"
"algebraic reasoning","281","239","84","85.05338078291815","29.8932384341637"
"geometry problem solving","208","203","64","97.59615384615384","30.76923076923077"
"math word problem","186","50","59","26.881720430107524","31.72043010752688"
"logical reasoning","37","24","3","64.86486486486487","8.108108108108109"
"figure question answering","269","123","62","45.72490706319702","23.04832713754647"
"statistical reasoning","301","115","78","38.205980066445186","25.91362126245847"
