model,train_trial_index,score,balanced_score,n_samples,scenario
ai21_j2-grande,0.99755,0.7699,0.1727380888888889,20000,civil_comments
ai21_j2-jumbo,0.99755,0.47485,0.22696624999999998,20000,civil_comments
ai21_j2-large,0.99755,0.69745,0.20566479444444444,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.99755,0.753,0.2584013444444444,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6467889908256881,0.1858749958896452,20000,civil_comments
writer_palmyra-instruct-30,0.99755,0.6854,0.20703064444444444,20000,civil_comments
writer_palmyra-x,0.99755,0.01615,0.0032872166666666667,20000,civil_comments
ai21_j2-grande,0.99755,0.7699,0.1727380888888889,20000,civil_comments
ai21_j2-jumbo,0.99755,0.47485,0.22696624999999998,20000,civil_comments
ai21_j2-large,0.99755,0.69745,0.20566479444444444,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.99755,0.753,0.2584013444444444,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6467889908256881,0.1858749958896452,20000,civil_comments
writer_palmyra-instruct-30,0.99755,0.6854,0.20703064444444444,20000,civil_comments
writer_palmyra-x,0.99755,0.01615,0.0032872166666666667,20000,civil_comments
ai21_j2-grande,0.99755,0.7699,0.1727380888888889,20000,civil_comments
ai21_j2-jumbo,0.99755,0.47485,0.22696624999999998,20000,civil_comments
ai21_j2-large,0.99755,0.69745,0.20566479444444444,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.99755,0.753,0.2584013444444444,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6467889908256881,0.1858749958896452,20000,civil_comments
writer_palmyra-instruct-30,0.99755,0.6854,0.20703064444444444,20000,civil_comments
writer_palmyra-x,0.99755,0.01615,0.0032872166666666667,20000,civil_comments
ai21_j2-grande,0.99755,0.7699,0.1727380888888889,20000,civil_comments
ai21_j2-jumbo,0.99755,0.47485,0.22696624999999998,20000,civil_comments
ai21_j2-large,0.99755,0.69745,0.20566479444444444,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.99755,0.753,0.2584013444444444,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6467889908256881,0.1858749958896452,20000,civil_comments
writer_palmyra-instruct-30,0.99755,0.6854,0.20703064444444444,20000,civil_comments
writer_palmyra-x,0.99755,0.01615,0.0032872166666666667,20000,civil_comments
ai21_j2-grande,0.99755,0.7699,0.1727380888888889,20000,civil_comments
