model,data_augmentations,instance_id,train_trial_index,score,score_name,unique_id_inc_seed,split,sub_split
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id36879,0,1.0,quasi_exact_match,imdb_id36879_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id29999,0,1.0,quasi_exact_match,imdb_id29999_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id35749,0,1.0,quasi_exact_match,imdb_id35749_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id25023,0,1.0,quasi_exact_match,imdb_id25023_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id35558,0,1.0,quasi_exact_match,imdb_id35558_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id21308,0,1.0,quasi_exact_match,imdb_id21308_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id46662,0,1.0,quasi_exact_match,imdb_id46662_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id43724,0,1.0,quasi_exact_match,imdb_id43724_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id40661,0,1.0,quasi_exact_match,imdb_id40661_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id30233,0,1.0,quasi_exact_match,imdb_id30233_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id35173,0,1.0,quasi_exact_match,imdb_id35173_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id27568,0,1.0,quasi_exact_match,imdb_id27568_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id34414,0,1.0,quasi_exact_match,imdb_id34414_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id35745,0,1.0,quasi_exact_match,imdb_id35745_0,valid,
writer_palmyra-x,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/imdb:model=writer_palmyra-x,data_augmentation=canonical",id46800,0,1.0,quasi_exact_match,imdb_id46800_0,valid,
