"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","481","470","48.1","47.0"
"scientific reasoning","122","84","69","68.85245901639344","56.557377049180324"
"textbook question answering","158","94","81","59.49367088607595","51.26582278481012"
"numeric commonsense","144","35","38","24.305555555555554","26.38888888888889"
"arithmetic reasoning","353","99","145","28.04532577903683","41.07648725212464"
"visual question answering","179","91","86","50.83798882681564","48.04469273743017"
"geometry reasoning","239","151","104","63.17991631799163","43.51464435146444"
"algebraic reasoning","281","176","120","62.63345195729537","42.704626334519574"
"geometry problem solving","208","143","95","68.75","45.67307692307692"
"math word problem","186","20","63","10.75268817204301","33.87096774193548"
"logical reasoning","37","11","3","29.72972972972973","8.108108108108109"
"figure question answering","269","133","145","49.44237918215613","53.90334572490706"
"statistical reasoning","301","136","183","45.182724252491695","60.797342192691026"
