model,data_augmentations,instance_id,train_trial_index,score,score_name,unique_id_inc_seed,split,sub_split
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id10,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id10_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id11,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id11_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id12,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id12_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id13,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id13_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id14,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id14_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id15,0,0.0,quasi_exact_match,raft:subset=tai_safety_research_id15_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id16,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id16_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id17,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id17_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id18,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id18_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id19,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id19_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id20,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id20_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id21,0,0.0,quasi_exact_match,raft:subset=tai_safety_research_id21_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id22,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id22_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id23,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id23_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id24,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id24_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id25,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id25_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id26,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id26_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id27,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id27_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id28,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id28_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id29,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id29_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id30,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id30_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id31,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id31_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id32,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id32_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id33,0,0.0,quasi_exact_match,raft:subset=tai_safety_research_id33_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id34,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id34_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id35,0,0.0,quasi_exact_match,raft:subset=tai_safety_research_id35_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id36,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id36_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id37,0,0.0,quasi_exact_match,raft:subset=tai_safety_research_id37_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id38,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id38_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id39,0,0.0,quasi_exact_match,raft:subset=tai_safety_research_id39_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id40,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id40_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id41,0,0.0,quasi_exact_match,raft:subset=tai_safety_research_id41_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id42,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id42_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id43,0,0.0,quasi_exact_match,raft:subset=tai_safety_research_id43_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id44,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id44_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id45,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id45_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id46,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id46_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id47,0,0.0,quasi_exact_match,raft:subset=tai_safety_research_id47_0,test,
openai_gpt-3.5-turbo-0301,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/raft:subset=tai_safety_research,model=openai_gpt-3.5-turbo-0301,data_augmentation=canonical",id48,0,1.0,quasi_exact_match,raft:subset=tai_safety_research_id48_0,test,
