"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","603","325","60.3","32.5"
"scientific reasoning","122","95","56","77.8688524590164","45.90163934426229"
"textbook question answering","158","111","73","70.25316455696202","46.20253164556962"
"numeric commonsense","144","50","37","34.72222222222222","25.694444444444443"
"arithmetic reasoning","353","140","95","39.6600566572238","26.912181303116146"
"visual question answering","179","104","66","58.10055865921788","36.87150837988827"
"geometry reasoning","239","216","85","90.3765690376569","35.56485355648535"
"algebraic reasoning","281","243","101","86.47686832740213","35.94306049822064"
"geometry problem solving","208","203","74","97.59615384615384","35.57692307692308"
"math word problem","186","49","37","26.344086021505376","19.892473118279568"
"logical reasoning","37","25","7","67.56756756756756","18.91891891891892"
"figure question answering","269","136","75","50.55762081784386","27.881040892193308"
"statistical reasoning","301","136","88","45.182724252491695","29.2358803986711"
