"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","550","522","55.00000000000001","52.2"
"scientific reasoning","122","89","68","72.95081967213115","55.73770491803278"
"textbook question answering","158","102","89","64.55696202531645","56.32911392405063"
"numeric commonsense","144","60","60","41.66666666666667","41.66666666666667"
"arithmetic reasoning","353","111","162","31.444759206798867","45.892351274787536"
"visual question answering","179","92","64","51.39664804469274","35.754189944134076"
"geometry reasoning","239","192","116","80.3347280334728","48.53556485355649"
"algebraic reasoning","281","219","132","77.93594306049823","46.97508896797153"
"geometry problem solving","208","183","98","87.98076923076923","47.11538461538461"
"math word problem","186","55","117","29.56989247311828","62.903225806451616"
"logical reasoning","37","22","6","59.45945945945946","16.216216216216218"
"figure question answering","269","118","154","43.866171003717476","57.249070631970255"
"statistical reasoning","301","110","202","36.544850498338874","67.109634551495"
