"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","331","213","33.1","21.3"
"scientific reasoning","122","52","32","42.62295081967213","26.229508196721312"
"textbook question answering","158","65","44","41.139240506329116","27.848101265822784"
"numeric commonsense","144","32","13","22.22222222222222","9.027777777777777"
"arithmetic reasoning","353","71","60","20.113314447592067","16.997167138810198"
"visual question answering","179","65","42","36.312849162011176","23.463687150837988"
"geometry reasoning","239","114","58","47.69874476987448","24.267782426778243"
"algebraic reasoning","281","132","71","46.97508896797153","25.26690391459075"
"geometry problem solving","208","108","52","51.92307692307693","25.0"
"math word problem","186","17","25","9.13978494623656","13.440860215053762"
"logical reasoning","37","15","3","40.54054054054054","8.108108108108109"
"figure question answering","269","76","50","28.25278810408922","18.587360594795538"
"statistical reasoning","301","71","57","23.588039867109632","18.93687707641196"
