"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","520","387","52.0","38.7"
"scientific reasoning","122","91","68","74.59016393442623","55.73770491803278"
"textbook question answering","158","104","82","65.82278481012658","51.89873417721519"
"numeric commonsense","144","37","39","25.694444444444443","27.083333333333332"
"arithmetic reasoning","353","97","121","27.47875354107649","34.27762039660057"
"visual question answering","179","90","71","50.27932960893855","39.66480446927375"
"geometry reasoning","239","196","63","82.00836820083683","26.359832635983267"
"algebraic reasoning","281","223","82","79.35943060498221","29.181494661921707"
"geometry problem solving","208","187","51","89.90384615384616","24.519230769230766"
"math word problem","186","22","58","11.827956989247312","31.182795698924732"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","117","125","43.49442379182156","46.468401486988846"
"statistical reasoning","301","107","158","35.548172757475086","52.49169435215947"
