,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.3302130158730158,700,0,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,0,1.0,civil_comments
2,ai21_j2-large,0.6420555555555555,700,0,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.7675530158730159,700,0,0.8333333333333334,civil_comments
4,together_redpajama-incite-base-3b-v1,0.5344296998420222,700,0,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.6443695238095238,700,0,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0011569841269841,700,0,0.0,civil_comments
0,ai21_j2-grande,0.3302130158730158,700,1,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,1,1.0,civil_comments
2,ai21_j2-large,0.6420555555555555,700,1,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.7675530158730159,700,1,0.8333333333333334,civil_comments
4,together_redpajama-incite-base-3b-v1,0.5344296998420222,700,1,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.6443695238095238,700,1,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0011569841269841,700,1,0.0,civil_comments
0,ai21_j2-grande,0.3302130158730158,700,2,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,2,1.0,civil_comments
2,ai21_j2-large,0.6420555555555555,700,2,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.7675530158730159,700,2,0.8333333333333334,civil_comments
4,together_redpajama-incite-base-3b-v1,0.5344296998420222,700,2,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.6443695238095238,700,2,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0011569841269841,700,2,0.0,civil_comments
0,ai21_j2-grande,0.3302130158730158,700,3,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,3,1.0,civil_comments
2,ai21_j2-large,0.6420555555555555,700,3,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.7675530158730159,700,3,0.8333333333333334,civil_comments
4,together_redpajama-incite-base-3b-v1,0.5344296998420222,700,3,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.6443695238095238,700,3,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0011569841269841,700,3,0.0,civil_comments
0,ai21_j2-grande,0.3302130158730158,700,4,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,4,1.0,civil_comments
2,ai21_j2-large,0.6420555555555555,700,4,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.7675530158730159,700,4,0.8333333333333334,civil_comments
4,together_redpajama-incite-base-3b-v1,0.5344296998420222,700,4,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.6443695238095238,700,4,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0011569841269841,700,4,0.0,civil_comments
0,ai21_j2-grande,0.3302130158730158,700,5,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,5,1.0,civil_comments
2,ai21_j2-large,0.6420555555555555,700,5,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.7675530158730159,700,5,0.8333333333333334,civil_comments
4,together_redpajama-incite-base-3b-v1,0.5344296998420222,700,5,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.6443695238095238,700,5,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0011569841269841,700,5,0.0,civil_comments
0,ai21_j2-grande,0.3302130158730158,700,6,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,6,1.0,civil_comments
2,ai21_j2-large,0.6420555555555555,700,6,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.7675530158730159,700,6,0.8333333333333334,civil_comments
4,together_redpajama-incite-base-3b-v1,0.5344296998420222,700,6,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.6443695238095238,700,6,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0011569841269841,700,6,0.0,civil_comments
0,ai21_j2-grande,0.3302130158730158,700,7,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,7,1.0,civil_comments
2,ai21_j2-large,0.6420555555555555,700,7,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.7675530158730159,700,7,0.8333333333333334,civil_comments
4,together_redpajama-incite-base-3b-v1,0.5344296998420222,700,7,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.6443695238095238,700,7,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0011569841269841,700,7,0.0,civil_comments
0,ai21_j2-grande,0.3302130158730158,700,8,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,8,1.0,civil_comments
2,ai21_j2-large,0.6420555555555555,700,8,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.7675530158730159,700,8,0.8333333333333334,civil_comments
4,together_redpajama-incite-base-3b-v1,0.5344296998420222,700,8,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.6443695238095238,700,8,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0011569841269841,700,8,0.0,civil_comments
0,ai21_j2-grande,0.3302130158730158,700,9,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.7947774603174603,700,9,1.0,civil_comments
