model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,0.9946666666666667,0.4066666666666667,,0.4066666666666667,1500,truthful_qa
ai21_j2-jumbo,0.9946666666666667,0.5046666666666667,,0.5046666666666667,1500,truthful_qa
ai21_j2-large,0.9946666666666667,0.258,,0.258,1500,truthful_qa
openai_gpt-3.5-turbo-0301,0.9946666666666667,0.732,,0.732,1500,truthful_qa
together_redpajama-incite-base-3b-v1,0.0,0.31137724550898205,,0.31137724550898205,1500,truthful_qa
writer_palmyra-instruct-30,0.9946666666666667,0.2,,0.2,1500,truthful_qa
writer_palmyra-x,0.9946666666666667,0.686,,0.686,1500,truthful_qa
ai21_j2-grande,0.9946666666666667,0.4066666666666667,,0.4066666666666667,1500,truthful_qa
ai21_j2-jumbo,0.9946666666666667,0.5046666666666667,,0.5046666666666667,1500,truthful_qa
ai21_j2-large,0.9946666666666667,0.258,,0.258,1500,truthful_qa
openai_gpt-3.5-turbo-0301,0.9946666666666667,0.732,,0.732,1500,truthful_qa
together_redpajama-incite-base-3b-v1,0.0,0.31137724550898205,,0.31137724550898205,1500,truthful_qa
writer_palmyra-instruct-30,0.9946666666666667,0.2,,0.2,1500,truthful_qa
writer_palmyra-x,0.9946666666666667,0.686,,0.686,1500,truthful_qa
ai21_j2-grande,0.9946666666666667,0.4066666666666667,,0.4066666666666667,1500,truthful_qa
ai21_j2-jumbo,0.9946666666666667,0.5046666666666667,,0.5046666666666667,1500,truthful_qa
ai21_j2-large,0.9946666666666667,0.258,,0.258,1500,truthful_qa
openai_gpt-3.5-turbo-0301,0.9946666666666667,0.732,,0.732,1500,truthful_qa
together_redpajama-incite-base-3b-v1,0.0,0.31137724550898205,,0.31137724550898205,1500,truthful_qa
writer_palmyra-instruct-30,0.9946666666666667,0.2,,0.2,1500,truthful_qa
writer_palmyra-x,0.9946666666666667,0.686,,0.686,1500,truthful_qa
ai21_j2-grande,0.9946666666666667,0.4066666666666667,,0.4066666666666667,1500,truthful_qa
ai21_j2-jumbo,0.9946666666666667,0.5046666666666667,,0.5046666666666667,1500,truthful_qa
ai21_j2-large,0.9946666666666667,0.258,,0.258,1500,truthful_qa
openai_gpt-3.5-turbo-0301,0.9946666666666667,0.732,,0.732,1500,truthful_qa
together_redpajama-incite-base-3b-v1,0.0,0.31137724550898205,,0.31137724550898205,1500,truthful_qa
