"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","665","419","66.5","41.9"
"scientific reasoning","122","94","51","77.04918032786885","41.80327868852459"
"textbook question answering","158","110","62","69.62025316455697","39.24050632911392"
"numeric commonsense","144","62","49","43.05555555555556","34.02777777777778"
"arithmetic reasoning","353","162","154","45.892351274787536","43.626062322946176"
"visual question answering","179","95","56","53.072625698324025","31.28491620111732"
"geometry reasoning","239","221","84","92.46861924686193","35.146443514644346"
"algebraic reasoning","281","242","88","86.12099644128114","31.316725978647685"
"geometry problem solving","208","203","70","97.59615384615384","33.65384615384615"
"math word problem","186","99","120","53.2258064516129","64.51612903225806"
"logical reasoning","37","25","3","67.56756756756756","8.108108108108109"
"figure question answering","269","158","111","58.7360594795539","41.2639405204461"
"statistical reasoning","301","146","152","48.50498338870432","50.498338870431894"
