"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","542","676","54.2","67.60000000000001"
"scientific reasoning","122","94","83","77.04918032786885","68.0327868852459"
"textbook question answering","158","107","110","67.72151898734177","69.62025316455697"
"numeric commonsense","144","40","71","27.77777777777778","49.30555555555556"
"arithmetic reasoning","353","99","215","28.04532577903683","60.90651558073654"
"visual question answering","179","92","95","51.39664804469274","53.072625698324025"
"geometry reasoning","239","212","182","88.70292887029288","76.15062761506276"
"algebraic reasoning","281","239","205","85.05338078291815","72.95373665480427"
"geometry problem solving","208","203","160","97.59615384615384","76.92307692307693"
"math word problem","186","23","143","12.365591397849462","76.88172043010752"
"logical reasoning","37","24","9","64.86486486486487","24.324324324324326"
"figure question answering","269","117","168","43.49442379182156","62.45353159851301"
"statistical reasoning","301","107","218","35.548172757475086","72.42524916943522"
