"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","782","697","78.2","69.69999999999999"
"scientific reasoning","122","96","83","78.68852459016394","68.0327868852459"
"textbook question answering","158","125","117","79.11392405063292","74.0506329113924"
"numeric commonsense","144","70","74","48.61111111111111","51.388888888888886"
"arithmetic reasoning","353","217","221","61.47308781869688","62.606232294617556"
"visual question answering","179","109","107","60.893854748603346","59.77653631284916"
"geometry reasoning","239","225","155","94.14225941422593","64.85355648535564"
"algebraic reasoning","281","257","185","91.45907473309609","65.83629893238434"
"geometry problem solving","208","204","135","98.07692307692307","64.90384615384616"
"math word problem","186","131","132","70.43010752688173","70.96774193548387"
"logical reasoning","37","27","12","72.97297297297297","32.432432432432435"
"figure question answering","269","213","206","79.182156133829","76.57992565055763"
"statistical reasoning","301","241","251","80.06644518272425","83.38870431893687"
