"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","628","54.0","62.8"
"scientific reasoning","122","94","72","77.04918032786885","59.01639344262295"
"textbook question answering","158","107","94","67.72151898734177","59.49367088607595"
"numeric commonsense","144","39","61","27.083333333333332","42.36111111111111"
"arithmetic reasoning","353","99","188","28.04532577903683","53.25779036827195"
"visual question answering","179","92","89","51.39664804469274","49.72067039106145"
"geometry reasoning","239","212","162","88.70292887029288","67.78242677824268"
"algebraic reasoning","281","239","184","85.05338078291815","65.48042704626334"
"geometry problem solving","208","203","145","97.59615384615384","69.71153846153845"
"math word problem","186","22","123","11.827956989247312","66.12903225806451"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","116","177","43.12267657992565","65.79925650557621"
"statistical reasoning","301","106","219","35.21594684385382","72.75747508305648"
