"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","373","225","37.3","22.5"
"scientific reasoning","122","68","37","55.73770491803278","30.327868852459016"
"textbook question answering","158","79","54","50.0","34.177215189873415"
"numeric commonsense","144","31","22","21.52777777777778","15.277777777777779"
"arithmetic reasoning","353","66","65","18.69688385269122","18.413597733711047"
"visual question answering","179","57","43","31.843575418994412","24.022346368715084"
"geometry reasoning","239","148","50","61.92468619246861","20.920502092050206"
"algebraic reasoning","281","166","65","59.07473309608541","23.131672597864767"
"geometry problem solving","208","142","45","68.26923076923077","21.634615384615387"
"math word problem","186","20","33","10.75268817204301","17.741935483870968"
"logical reasoning","37","15","8","40.54054054054054","21.62162162162162"
"figure question answering","269","75","50","27.881040892193308","18.587360594795538"
"statistical reasoning","301","70","50","23.25581395348837","16.611295681063122"
