"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","513","353","51.300000000000004","35.3"
"scientific reasoning","122","90","63","73.77049180327869","51.63934426229508"
"textbook question answering","158","103","72","65.18987341772153","45.56962025316456"
"numeric commonsense","144","39","37","27.083333333333332","25.694444444444443"
"arithmetic reasoning","353","99","110","28.04532577903683","31.1614730878187"
"visual question answering","179","92","68","51.39664804469274","37.988826815642454"
"geometry reasoning","239","190","64","79.49790794979079","26.778242677824267"
"algebraic reasoning","281","217","81","77.22419928825623","28.825622775800714"
"geometry problem solving","208","181","55","87.01923076923077","26.442307692307693"
"math word problem","186","22","48","11.827956989247312","25.806451612903224"
"logical reasoning","37","23","6","62.16216216216216","16.216216216216218"
"figure question answering","269","115","110","42.75092936802974","40.89219330855018"
"statistical reasoning","301","106","130","35.21594684385382","43.18936877076412"
