"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","654","360","65.4","36.0"
"scientific reasoning","122","95","59","77.8688524590164","48.36065573770492"
"textbook question answering","158","108","67","68.35443037974683","42.405063291139236"
"numeric commonsense","144","52","34","36.11111111111111","23.61111111111111"
"arithmetic reasoning","353","145","109","41.07648725212464","30.878186968838527"
"visual question answering","179","99","61","55.3072625698324","34.07821229050279"
"geometry reasoning","239","215","62","89.9581589958159","25.94142259414226"
"algebraic reasoning","281","240","74","85.40925266903915","26.334519572953734"
"geometry problem solving","208","203","56","97.59615384615384","26.923076923076923"
"math word problem","186","66","54","35.483870967741936","29.03225806451613"
"logical reasoning","37","26","5","70.27027027027027","13.513513513513514"
"figure question answering","269","178","122","66.17100371747212","45.353159851301115"
"statistical reasoning","301","174","136","57.80730897009967","45.182724252491695"
