"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","673","54.0","67.30000000000001"
"scientific reasoning","122","94","81","77.04918032786885","66.39344262295081"
"textbook question answering","158","107","97","67.72151898734177","61.39240506329114"
"numeric commonsense","144","39","72","27.083333333333332","50.0"
"arithmetic reasoning","353","99","217","28.04532577903683","61.47308781869688"
"visual question answering","179","92","91","51.39664804469274","50.83798882681564"
"geometry reasoning","239","212","171","88.70292887029288","71.54811715481172"
"algebraic reasoning","281","239","190","85.05338078291815","67.61565836298932"
"geometry problem solving","208","203","152","97.59615384615384","73.07692307692307"
"math word problem","186","22","153","11.827956989247312","82.25806451612904"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","116","180","43.12267657992565","66.91449814126395"
"statistical reasoning","301","106","232","35.21594684385382","77.0764119601329"
