"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","535","583","53.5","58.3"
"scientific reasoning","122","91","79","74.59016393442623","64.75409836065575"
"textbook question answering","158","111","113","70.25316455696202","71.51898734177216"
"numeric commonsense","144","51","52","35.41666666666667","36.11111111111111"
"arithmetic reasoning","353","118","176","33.42776203966006","49.858356940509914"
"visual question answering","179","97","74","54.18994413407822","41.340782122905026"
"geometry reasoning","239","146","156","61.08786610878661","65.27196652719665"
"algebraic reasoning","281","178","187","63.345195729537366","66.54804270462633"
"geometry problem solving","208","136","136","65.38461538461539","65.38461538461539"
"math word problem","186","41","105","22.043010752688172","56.451612903225815"
"logical reasoning","37","23","6","62.16216216216216","16.216216216216218"
"figure question answering","269","150","155","55.762081784386616","57.62081784386617"
"statistical reasoning","301","144","209","47.840531561461795","69.43521594684385"
