"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","583","327","58.3","32.7"
"scientific reasoning","122","94","55","77.04918032786885","45.08196721311475"
"textbook question answering","158","107","68","67.72151898734177","43.037974683544306"
"numeric commonsense","144","45","51","31.25","35.41666666666667"
"arithmetic reasoning","353","107","110","30.31161473087819","31.1614730878187"
"visual question answering","179","98","65","54.7486033519553","36.312849162011176"
"geometry reasoning","239","212","39","88.70292887029288","16.317991631799163"
"algebraic reasoning","281","239","49","85.05338078291815","17.437722419928825"
"geometry problem solving","208","203","27","97.59615384615384","12.980769230769232"
"math word problem","186","23","69","12.365591397849462","37.096774193548384"
"logical reasoning","37","24","7","64.86486486486487","18.91891891891892"
"figure question answering","269","152","98","56.50557620817844","36.43122676579926"
"statistical reasoning","301","143","104","47.50830564784053","34.55149501661129"
