"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","459","525","45.9","52.5"
"scientific reasoning","122","88","72","72.1311475409836","59.01639344262295"
"textbook question answering","158","101","100","63.92405063291139","63.29113924050633"
"numeric commonsense","144","39","42","27.083333333333332","29.166666666666668"
"arithmetic reasoning","353","98","175","27.762039660056658","49.57507082152974"
"visual question answering","179","91","69","50.83798882681564","38.547486033519554"
"geometry reasoning","239","147","141","61.50627615062761","58.995815899581594"
"algebraic reasoning","281","175","171","62.27758007117438","60.854092526690394"
"geometry problem solving","208","139","125","66.82692307692307","60.09615384615385"
"math word problem","186","22","111","11.827956989247312","59.67741935483871"
"logical reasoning","37","15","8","40.54054054054054","21.62162162162162"
"figure question answering","269","106","120","39.405204460966544","44.60966542750929"
"statistical reasoning","301","105","173","34.883720930232556","57.475083056478404"
