"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","492","608","49.2","60.8"
"scientific reasoning","122","87","69","71.31147540983606","56.557377049180324"
"textbook question answering","158","100","96","63.29113924050633","60.75949367088608"
"numeric commonsense","144","38","44","26.38888888888889","30.555555555555557"
"arithmetic reasoning","353","98","207","27.762039660056658","58.640226628895185"
"visual question answering","179","92","98","51.39664804469274","54.7486033519553"
"geometry reasoning","239","177","150","74.05857740585773","62.76150627615063"
"algebraic reasoning","281","205","177","72.95373665480427","62.989323843416365"
"geometry problem solving","208","168","135","80.76923076923077","64.90384615384616"
"math word problem","186","22","108","11.827956989247312","58.06451612903226"
"logical reasoning","37","15","6","40.54054054054054","16.216216216216218"
"figure question answering","269","110","171","40.89219330855018","63.56877323420075"
"statistical reasoning","301","110","221","36.544850498338874","73.421926910299"
