"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","657","545","65.7","54.50000000000001"
"scientific reasoning","122","97","73","79.50819672131148","59.83606557377049"
"textbook question answering","158","115","88","72.78481012658227","55.69620253164557"
"numeric commonsense","144","65","58","45.13888888888889","40.27777777777778"
"arithmetic reasoning","353","185","175","52.40793201133145","49.57507082152974"
"visual question answering","179","102","93","56.98324022346368","51.955307262569825"
"geometry reasoning","239","175","122","73.22175732217573","51.04602510460251"
"algebraic reasoning","281","200","136","71.17437722419929","48.39857651245551"
"geometry problem solving","208","156","105","75.0","50.480769230769226"
"math word problem","186","115","105","61.82795698924731","56.451612903225815"
"logical reasoning","37","23","5","62.16216216216216","13.513513513513514"
"figure question answering","269","169","154","62.825278810408925","57.249070631970255"
"statistical reasoning","301","175","176","58.139534883720934","58.4717607973422"
