"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","565","757","56.49999999999999","75.7"
"scientific reasoning","122","95","82","77.8688524590164","67.21311475409836"
"textbook question answering","158","109","116","68.9873417721519","73.41772151898735"
"numeric commonsense","144","48","89","33.33333333333333","61.80555555555556"
"arithmetic reasoning","353","113","251","32.01133144475921","71.10481586402267"
"visual question answering","179","101","117","56.424581005586596","65.36312849162012"
"geometry reasoning","239","214","190","89.5397489539749","79.49790794979079"
"algebraic reasoning","281","240","221","85.40925266903915","78.64768683274022"
"geometry problem solving","208","203","168","97.59615384615384","80.76923076923077"
"math word problem","186","26","162","13.978494623655912","87.09677419354838"
"logical reasoning","37","25","13","67.56756756756756","35.13513513513514"
"figure question answering","269","126","194","46.84014869888476","72.11895910780669"
"statistical reasoning","301","116","239","38.53820598006645","79.40199335548172"
