"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","243","235","24.3","23.5"
"scientific reasoning","122","59","52","48.36065573770492","42.62295081967213"
"textbook question answering","158","50","49","31.645569620253166","31.0126582278481"
"numeric commonsense","144","20","13","13.88888888888889","9.027777777777777"
"arithmetic reasoning","353","40","62","11.3314447592068","17.56373937677054"
"visual question answering","179","33","22","18.435754189944134","12.290502793296088"
"geometry reasoning","239","108","62","45.18828451882845","25.94142259414226"
"algebraic reasoning","281","107","65","38.07829181494662","23.131672597864767"
"geometry problem solving","208","104","58","50.0","27.884615384615387"
"math word problem","186","17","41","9.13978494623656","22.043010752688172"
"logical reasoning","37","0","1","0.0","2.7027027027027026"
"figure question answering","269","39","65","14.49814126394052","24.1635687732342"
"statistical reasoning","301","50","90","16.611295681063122","29.900332225913623"
