model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,0.6,0.4,,0.4,10,mmlu
ai21_j2-jumbo,0.6,0.3,,0.3,10,mmlu
ai21_j2-large,0.6,0.2,,0.2,10,mmlu
openai_gpt-3.5-turbo-0301,0.6,0.5,,0.5,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.16666666666666666,,0.16666666666666666,10,mmlu
writer_palmyra-instruct-30,0.6,0.2,,0.2,10,mmlu
writer_palmyra-x,0.6,0.3,,0.3,10,mmlu
ai21_j2-grande,0.8,0.4,,0.4,10,mmlu
ai21_j2-jumbo,0.8,0.3,,0.3,10,mmlu
ai21_j2-large,0.8,0.2,,0.2,10,mmlu
openai_gpt-3.5-turbo-0301,0.8,0.5,,0.5,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.0,,0.0,10,mmlu
writer_palmyra-instruct-30,0.8,0.1,,0.1,10,mmlu
writer_palmyra-x,0.8,0.4,,0.4,10,mmlu
ai21_j2-grande,1.2,0.0,,0.0,10,mmlu
ai21_j2-jumbo,1.2,0.1,,0.1,10,mmlu
ai21_j2-large,1.2,0.4,,0.4,10,mmlu
openai_gpt-3.5-turbo-0301,1.2,0.3,,0.3,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.6666666666666666,,0.6666666666666666,10,mmlu
writer_palmyra-instruct-30,1.2,0.2,,0.2,10,mmlu
writer_palmyra-x,1.2,0.4,,0.4,10,mmlu
ai21_j2-grande,1.4,0.8,,0.8,10,mmlu
ai21_j2-jumbo,1.4,0.6,,0.6,10,mmlu
ai21_j2-large,1.4,0.5,,0.5,10,mmlu
openai_gpt-3.5-turbo-0301,1.4,0.8,,0.8,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.0,,0.0,10,mmlu
writer_palmyra-instruct-30,1.4,0.4,,0.4,10,mmlu
writer_palmyra-x,1.4,0.9,,0.9,10,mmlu
ai21_j2-grande,0.7,0.5,,0.5,10,mmlu
ai21_j2-jumbo,0.7,0.6,,0.6,10,mmlu
ai21_j2-large,0.7,0.3,,0.3,10,mmlu
openai_gpt-3.5-turbo-0301,0.7,0.7,,0.7,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.16666666666666666,,0.16666666666666666,10,mmlu
writer_palmyra-instruct-30,0.7,0.3,,0.3,10,mmlu
writer_palmyra-x,0.7,0.6,,0.6,10,mmlu
ai21_j2-grande,0.9,0.5,,0.5,10,mmlu
ai21_j2-jumbo,0.9,0.5,,0.5,10,mmlu
ai21_j2-large,0.9,0.2,,0.2,10,mmlu
openai_gpt-3.5-turbo-0301,0.9,0.5,,0.5,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.2,,0.2,10,mmlu
writer_palmyra-instruct-30,0.9,0.4,,0.4,10,mmlu
writer_palmyra-x,0.9,0.6,,0.6,10,mmlu
ai21_j2-grande,0.6,0.5,,0.5,10,mmlu
ai21_j2-jumbo,0.6,0.6,,0.6,10,mmlu
ai21_j2-large,0.6,0.1,,0.1,10,mmlu
openai_gpt-3.5-turbo-0301,0.6,0.5,,0.5,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.16666666666666666,,0.16666666666666666,10,mmlu
writer_palmyra-instruct-30,0.6,0.3,,0.3,10,mmlu
writer_palmyra-x,0.6,0.5,,0.5,10,mmlu
ai21_j2-grande,1.1,0.5,,0.5,10,mmlu
ai21_j2-jumbo,1.1,0.3,,0.3,10,mmlu
ai21_j2-large,1.1,0.4,,0.4,10,mmlu
openai_gpt-3.5-turbo-0301,1.1,0.5,,0.5,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.0,,0.0,10,mmlu
writer_palmyra-instruct-30,1.1,0.3,,0.3,10,mmlu
writer_palmyra-x,1.1,0.7,,0.7,10,mmlu
ai21_j2-grande,0.6,0.3,,0.3,10,mmlu
ai21_j2-jumbo,0.6,0.4,,0.4,10,mmlu
ai21_j2-large,0.6,0.3,,0.3,10,mmlu
openai_gpt-3.5-turbo-0301,0.6,0.4,,0.4,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.4,,0.4,10,mmlu
writer_palmyra-instruct-30,0.6,0.3,,0.3,10,mmlu
writer_palmyra-x,0.6,0.4,,0.4,10,mmlu
ai21_j2-grande,0.9,0.4,,0.4,10,mmlu
ai21_j2-jumbo,0.9,0.5,,0.5,10,mmlu
ai21_j2-large,0.9,0.4,,0.4,10,mmlu
openai_gpt-3.5-turbo-0301,0.9,0.6,,0.6,10,mmlu
together_redpajama-incite-base-3b-v1,0.0,0.0,,0.0,10,mmlu
writer_palmyra-instruct-30,0.9,0.3,,0.3,10,mmlu
writer_palmyra-x,0.9,0.6,,0.6,10,mmlu
