"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","588","297","58.8","29.7"
"scientific reasoning","122","95","49","77.8688524590164","40.16393442622951"
"textbook question answering","158","109","62","68.9873417721519","39.24050632911392"
"numeric commonsense","144","50","35","34.72222222222222","24.305555555555554"
"arithmetic reasoning","353","138","108","39.09348441926346","30.59490084985836"
"visual question answering","179","100","61","55.865921787709496","34.07821229050279"
"geometry reasoning","239","214","78","89.5397489539749","32.63598326359833"
"algebraic reasoning","281","241","85","85.76512455516014","30.2491103202847"
"geometry problem solving","208","203","65","97.59615384615384","31.25"
"math word problem","186","55","50","29.56989247311828","26.881720430107524"
"logical reasoning","37","24","9","64.86486486486487","24.324324324324326"
"figure question answering","269","121","59","44.98141263940521","21.933085501858738"
"statistical reasoning","301","118","69","39.202657807308974","22.92358803986711"
