"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","366","239","36.6","23.9"
"scientific reasoning","122","72","47","59.01639344262295","38.52459016393443"
"textbook question answering","158","82","48","51.89873417721519","30.37974683544304"
"numeric commonsense","144","27","23","18.75","15.972222222222221"
"arithmetic reasoning","353","93","64","26.345609065155806","18.13031161473088"
"visual question answering","179","89","56","49.72067039106145","31.28491620111732"
"geometry reasoning","239","91","70","38.07531380753138","29.288702928870293"
"algebraic reasoning","281","115","80","40.92526690391459","28.46975088967972"
"geometry problem solving","208","85","66","40.86538461538461","31.73076923076923"
"math word problem","186","9","10","4.838709677419355","5.376344086021505"
"logical reasoning","37","16","3","43.24324324324324","8.108108108108109"
"figure question answering","269","101","59","37.54646840148699","21.933085501858738"
"statistical reasoning","301","96","62","31.893687707641195","20.59800664451827"
