"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","439","714","43.9","71.39999999999999"
"scientific reasoning","122","79","87","64.75409836065575","71.31147540983606"
"textbook question answering","158","90","118","56.9620253164557","74.68354430379746"
"numeric commonsense","144","33","58","22.916666666666664","40.27777777777778"
"arithmetic reasoning","353","94","243","26.628895184135974","68.83852691218131"
"visual question answering","179","88","105","49.162011173184354","58.659217877094974"
"geometry reasoning","239","151","176","63.17991631799163","73.64016736401673"
"algebraic reasoning","281","177","206","62.989323843416365","73.30960854092527"
"geometry problem solving","208","145","154","69.71153846153845","74.03846153846155"
"math word problem","186","19","142","10.21505376344086","76.34408602150538"
"logical reasoning","37","8","9","21.62162162162162","24.324324324324326"
"figure question answering","269","97","195","36.059479553903344","72.4907063197026"
"statistical reasoning","301","100","253","33.222591362126245","84.0531561461794"
