"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","574","369","57.4","36.9"
"scientific reasoning","122","92","47","75.40983606557377","38.52459016393443"
"textbook question answering","158","109","64","68.9873417721519","40.50632911392405"
"numeric commonsense","144","49","33","34.02777777777778","22.916666666666664"
"arithmetic reasoning","353","126","98","35.69405099150141","27.762039660056658"
"visual question answering","179","99","59","55.3072625698324","32.960893854748605"
"geometry reasoning","239","173","98","72.38493723849372","41.00418410041841"
"algebraic reasoning","281","204","116","72.59786476868328","41.281138790035584"
"geometry problem solving","208","163","93","78.36538461538461","44.71153846153847"
"math word problem","186","44","43","23.655913978494624","23.118279569892472"
"logical reasoning","37","25","8","67.56756756756756","21.62162162162162"
"figure question answering","269","159","110","59.10780669144982","40.89219330855018"
"statistical reasoning","301","150","127","49.83388704318937","42.19269102990033"
