,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.17034,700,0,0.6666666666666666,civil_comments
1,ai21_j2-jumbo,0.1560346031746032,700,0,0.16666666666666666,civil_comments
2,ai21_j2-large,0.1709111111111111,700,0,0.8333333333333334,civil_comments
3,openai_gpt-3.5-turbo-0301,0.1955719047619047,700,0,1.0,civil_comments
4,together_redpajama-incite-base-3b-v1,0.1689074074074074,700,0,0.5,civil_comments
5,writer_palmyra-instruct-30,0.1657619047619047,700,0,0.3333333333333333,civil_comments
6,writer_palmyra-x,0.0040738095238095,700,0,0.0,civil_comments
0,ai21_j2-grande,0.1630887301587301,700,1,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.1949104761904762,700,1,0.8333333333333334,civil_comments
2,ai21_j2-large,0.1871307936507936,700,1,0.5,civil_comments
3,openai_gpt-3.5-turbo-0301,0.2123457142857142,700,1,1.0,civil_comments
4,together_redpajama-incite-base-3b-v1,0.1899584462511291,700,1,0.6666666666666666,civil_comments
5,writer_palmyra-instruct-30,0.1748387301587301,700,1,0.3333333333333333,civil_comments
6,writer_palmyra-x,0.0021726984126984,700,1,0.0,civil_comments
0,ai21_j2-grande,0.1700087301587301,700,2,0.5,civil_comments
1,ai21_j2-jumbo,0.1736609523809524,700,2,0.6666666666666666,civil_comments
2,ai21_j2-large,0.178265873015873,700,2,0.8333333333333334,civil_comments
3,openai_gpt-3.5-turbo-0301,0.1985106349206349,700,2,1.0,civil_comments
4,together_redpajama-incite-base-3b-v1,0.1390845624385447,700,2,0.16666666666666666,civil_comments
5,writer_palmyra-instruct-30,0.1605201587301587,700,2,0.3333333333333333,civil_comments
6,writer_palmyra-x,0.0025149206349206,700,2,0.0,civil_comments
0,ai21_j2-grande,0.1781782539682539,700,3,0.8333333333333334,civil_comments
1,ai21_j2-jumbo,0.1737912698412698,700,3,0.5,civil_comments
2,ai21_j2-large,0.1727525396825397,700,3,0.3333333333333333,civil_comments
3,openai_gpt-3.5-turbo-0301,0.2048984126984127,700,3,1.0,civil_comments
4,together_redpajama-incite-base-3b-v1,0.1517804359383306,700,3,0.16666666666666666,civil_comments
5,writer_palmyra-instruct-30,0.1754306349206349,700,3,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.004687619047619,700,3,0.0,civil_comments
0,ai21_j2-grande,0.164093492063492,700,4,0.16666666666666666,civil_comments
1,ai21_j2-jumbo,0.1759749206349206,700,4,0.6666666666666666,civil_comments
2,ai21_j2-large,0.1822203174603174,700,4,0.8333333333333334,civil_comments
3,openai_gpt-3.5-turbo-0301,0.2046377777777777,700,4,1.0,civil_comments
4,together_redpajama-incite-base-3b-v1,0.1746168430335097,700,4,0.3333333333333333,civil_comments
5,writer_palmyra-instruct-30,0.175843492063492,700,4,0.5,civil_comments
6,writer_palmyra-x,0.0035306349206349,700,4,0.0,civil_comments
0,ai21_j2-grande,0.1676350793650793,700,5,0.3333333333333333,civil_comments
1,ai21_j2-jumbo,0.1834709523809523,700,5,0.6666666666666666,civil_comments
2,ai21_j2-large,0.1865766666666666,700,5,0.8333333333333334,civil_comments
3,openai_gpt-3.5-turbo-0301,0.219477619047619,700,5,1.0,civil_comments
4,together_redpajama-incite-base-3b-v1,0.1623541992696922,700,5,0.16666666666666666,civil_comments
5,writer_palmyra-instruct-30,0.1812861904761905,700,5,0.5,civil_comments
6,writer_palmyra-x,0.0014285714285714,700,5,0.0,civil_comments
0,ai21_j2-grande,0.1633384126984127,700,6,0.5,civil_comments
1,ai21_j2-jumbo,0.1594349206349206,700,6,0.3333333333333333,civil_comments
2,ai21_j2-large,0.1738169841269841,700,6,0.8333333333333334,civil_comments
3,openai_gpt-3.5-turbo-0301,0.1882877777777778,700,6,1.0,civil_comments
4,together_redpajama-incite-base-3b-v1,0.1482875816993464,700,6,0.16666666666666666,civil_comments
5,writer_palmyra-instruct-30,0.1699660317460317,700,6,0.6666666666666666,civil_comments
6,writer_palmyra-x,0.0021726984126984,700,6,0.0,civil_comments
0,ai21_j2-grande,0.1664561904761904,700,7,0.6666666666666666,civil_comments
1,ai21_j2-jumbo,0.144133492063492,700,7,0.16666666666666666,civil_comments
2,ai21_j2-large,0.1692815873015873,700,7,0.8333333333333334,civil_comments
