model,data_augmentations,instance_id,train_trial_index,score,score_name,unique_id_inc_seed,split,sub_split
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id10611,0,1.0,quasi_exact_match,boolq_id10611_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9519,0,1.0,quasi_exact_match,boolq_id9519_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id11620,0,1.0,quasi_exact_match,boolq_id11620_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id11746,0,1.0,quasi_exact_match,boolq_id11746_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12512,0,1.0,quasi_exact_match,boolq_id12512_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9733,0,1.0,quasi_exact_match,boolq_id9733_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9722,0,1.0,quasi_exact_match,boolq_id9722_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9989,0,1.0,quasi_exact_match,boolq_id9989_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12045,0,0.0,quasi_exact_match,boolq_id12045_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9749,0,1.0,quasi_exact_match,boolq_id9749_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id10905,0,1.0,quasi_exact_match,boolq_id10905_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9910,0,1.0,quasi_exact_match,boolq_id9910_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9545,0,1.0,quasi_exact_match,boolq_id9545_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12215,0,1.0,quasi_exact_match,boolq_id12215_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id11842,0,1.0,quasi_exact_match,boolq_id11842_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12162,0,1.0,quasi_exact_match,boolq_id12162_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12480,0,1.0,quasi_exact_match,boolq_id12480_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id10253,0,1.0,quasi_exact_match,boolq_id10253_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9460,0,0.0,quasi_exact_match,boolq_id9460_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id11874,0,1.0,quasi_exact_match,boolq_id11874_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id11990,0,1.0,quasi_exact_match,boolq_id11990_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12275,0,1.0,quasi_exact_match,boolq_id12275_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12184,0,1.0,quasi_exact_match,boolq_id12184_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id10470,0,1.0,quasi_exact_match,boolq_id10470_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12082,0,0.0,quasi_exact_match,boolq_id12082_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12517,0,1.0,quasi_exact_match,boolq_id12517_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id11162,0,1.0,quasi_exact_match,boolq_id11162_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id10890,0,1.0,quasi_exact_match,boolq_id10890_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9645,0,1.0,quasi_exact_match,boolq_id9645_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12115,0,1.0,quasi_exact_match,boolq_id12115_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id9890,0,1.0,quasi_exact_match,boolq_id9890_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id11895,0,1.0,quasi_exact_match,boolq_id11895_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id11190,0,1.0,quasi_exact_match,boolq_id11190_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12378,0,1.0,quasi_exact_match,boolq_id12378_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id12290,0,1.0,quasi_exact_match,boolq_id12290_0,valid,
ai21_j2-jumbo,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.3/boolq:model=ai21_j2-jumbo,data_augmentation=canonical",id10119,0,1.0,quasi_exact_match,boolq_id10119_0,valid,
