"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","456","477","45.6","47.699999999999996"
"scientific reasoning","122","78","62","63.934426229508205","50.81967213114754"
"textbook question answering","158","91","87","57.59493670886076","55.06329113924051"
"numeric commonsense","144","36","43","25.0","29.86111111111111"
"arithmetic reasoning","353","96","169","27.19546742209632","47.875354107648725"
"visual question answering","179","89","75","49.72067039106145","41.899441340782126"
"geometry reasoning","239","155","129","64.85355648535564","53.97489539748954"
"algebraic reasoning","281","182","153","64.76868327402136","54.44839857651246"
"geometry problem solving","208","147","115","70.67307692307693","55.28846153846154"
"math word problem","186","22","96","11.827956989247312","51.61290322580645"
"logical reasoning","37","16","4","43.24324324324324","10.81081081081081"
"figure question answering","269","107","104","39.77695167286245","38.66171003717472"
"statistical reasoning","301","105","150","34.883720930232556","49.83388704318937"
