model,train_trial_index,score,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.04,0.9,0.7289,50,civil_comments
AlephAlpha_luminous-extended,1.04,0.32,0.2591644444444444,50,civil_comments
AlephAlpha_luminous-supreme,1.04,1.0,0.809888888888889,50,civil_comments
ai21_j1-grande,1.04,0.9,0.7289,50,civil_comments
ai21_j1-grande-v2-beta,1.04,0.8,0.6479111111111111,50,civil_comments
ai21_j1-jumbo,1.04,1.0,0.809888888888889,50,civil_comments
ai21_j1-large,1.04,0.82,0.6641088888888889,50,civil_comments
anthropic_stanford-online-all-v4-s3,1.04,1.0,0.809888888888889,50,civil_comments
cohere_command-medium-beta,1.04,1.0,0.809888888888889,50,civil_comments
cohere_command-xlarge-beta,1.04,1.0,0.809888888888889,50,civil_comments
cohere_large-20220720,1.04,0.64,0.5183288888888888,50,civil_comments
cohere_medium-20220720,1.04,0.94,0.7612955555555555,50,civil_comments
cohere_medium-20221108,1.04,0.02,0.016197777777777776,50,civil_comments
cohere_small-20220720,1.04,0.0,0.0,50,civil_comments
cohere_xlarge-20220609,1.04,1.0,0.809888888888889,50,civil_comments
cohere_xlarge-20221108,1.04,0.34,0.27536222222222223,50,civil_comments
microsoft_TNLGv2_530B,1.04,1.0,0.809888888888889,50,civil_comments
microsoft_TNLGv2_7B,1.04,0.8,0.6479111111111111,50,civil_comments
openai_ada,1.04,0.14,0.11338444444444445,50,civil_comments
openai_babbage,1.04,0.02,0.016197777777777776,50,civil_comments
openai_curie,1.04,0.94,0.7612955555555555,50,civil_comments
openai_davinci,1.04,1.0,0.809888888888889,50,civil_comments
openai_text-ada-001,1.04,0.02,0.016197777777777776,50,civil_comments
openai_text-babbage-001,1.04,0.0,0.0,50,civil_comments
openai_text-curie-001,1.04,0.98,0.7936911111111111,50,civil_comments
openai_text-davinci-002,1.04,1.0,0.809888888888889,50,civil_comments
openai_text-davinci-003,1.04,1.0,0.809888888888889,50,civil_comments
together_bloom,1.04,1.0,0.809888888888889,50,civil_comments
together_glm,1.04,0.0,0.0,50,civil_comments
together_gpt-j-6b,1.04,0.94,0.7612955555555555,50,civil_comments
together_gpt-neox-20b,1.04,1.0,0.809888888888889,50,civil_comments
together_opt-175b,1.04,1.0,0.809888888888889,50,civil_comments
together_opt-66b,1.04,1.0,0.809888888888889,50,civil_comments
together_t0pp,1.04,0.0,0.0,50,civil_comments
together_t5-11b,1.04,0.38,0.30775777777777774,50,civil_comments
together_ul2,1.04,0.76,0.6155155555555555,50,civil_comments
together_yalm,1.04,0.02,0.016197777777777776,50,civil_comments
AlephAlpha_luminous-base,1.04,0.9,0.7289,50,civil_comments
AlephAlpha_luminous-extended,1.04,0.32,0.2591644444444444,50,civil_comments
AlephAlpha_luminous-supreme,1.04,1.0,0.809888888888889,50,civil_comments
ai21_j1-grande,1.04,0.9,0.7289,50,civil_comments
ai21_j1-grande-v2-beta,1.04,0.8,0.6479111111111111,50,civil_comments
ai21_j1-jumbo,1.04,1.0,0.809888888888889,50,civil_comments
ai21_j1-large,1.04,0.82,0.6641088888888889,50,civil_comments
anthropic_stanford-online-all-v4-s3,1.04,1.0,0.809888888888889,50,civil_comments
cohere_command-medium-beta,1.04,1.0,0.809888888888889,50,civil_comments
cohere_command-xlarge-beta,1.04,1.0,0.809888888888889,50,civil_comments
cohere_large-20220720,1.04,0.64,0.5183288888888888,50,civil_comments
cohere_medium-20220720,1.04,0.94,0.7612955555555555,50,civil_comments
cohere_medium-20221108,1.04,0.02,0.016197777777777776,50,civil_comments
cohere_small-20220720,1.04,0.0,0.0,50,civil_comments
cohere_xlarge-20220609,1.04,1.0,0.809888888888889,50,civil_comments
cohere_xlarge-20221108,1.04,0.34,0.27536222222222223,50,civil_comments
microsoft_TNLGv2_530B,1.04,1.0,0.809888888888889,50,civil_comments
microsoft_TNLGv2_7B,1.04,0.8,0.6479111111111111,50,civil_comments
openai_ada,1.04,0.14,0.11338444444444445,50,civil_comments
openai_babbage,1.04,0.02,0.016197777777777776,50,civil_comments
openai_curie,1.04,0.94,0.7612955555555555,50,civil_comments
openai_davinci,1.04,1.0,0.809888888888889,50,civil_comments
openai_text-ada-001,1.04,0.02,0.016197777777777776,50,civil_comments
openai_text-babbage-001,1.04,0.0,0.0,50,civil_comments
openai_text-curie-001,1.04,0.98,0.7936911111111111,50,civil_comments
