"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","498","398","49.8","39.800000000000004"
"scientific reasoning","122","87","71","71.31147540983606","58.19672131147541"
"textbook question answering","158","97","83","61.39240506329114","52.53164556962025"
"numeric commonsense","144","54","38","37.5","26.38888888888889"
"arithmetic reasoning","353","104","84","29.461756373937675","23.79603399433428"
"visual question answering","179","95","73","53.072625698324025","40.78212290502793"
"geometry reasoning","239","165","135","69.0376569037657","56.48535564853556"
"algebraic reasoning","281","189","157","67.25978647686833","55.871886120996436"
"geometry problem solving","208","156","129","75.0","62.019230769230774"
"math word problem","186","35","28","18.817204301075268","15.053763440860216"
"logical reasoning","37","16","2","43.24324324324324","5.405405405405405"
"figure question answering","269","115","85","42.75092936802974","31.59851301115242"
"statistical reasoning","301","113","99","37.54152823920266","32.89036544850498"
