"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","442","525","44.2","52.5"
"scientific reasoning","122","84","76","68.85245901639344","62.295081967213115"
"textbook question answering","158","97","91","61.39240506329114","57.59493670886076"
"numeric commonsense","144","36","47","25.0","32.63888888888889"
"arithmetic reasoning","353","96","173","27.19546742209632","49.008498583569406"
"visual question answering","179","90","68","50.27932960893855","37.988826815642454"
"geometry reasoning","239","143","122","59.83263598326359","51.04602510460251"
"algebraic reasoning","281","170","142","60.4982206405694","50.5338078291815"
"geometry problem solving","208","135","106","64.90384615384616","50.96153846153846"
"math word problem","186","21","111","11.29032258064516","59.67741935483871"
"logical reasoning","37","8","5","21.62162162162162","13.513513513513514"
"figure question answering","269","99","149","36.80297397769517","55.39033457249071"
"statistical reasoning","301","104","198","34.55149501661129","65.78073089700996"
