"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","490","582","49.0","58.199999999999996"
"scientific reasoning","122","85","78","69.67213114754098","63.934426229508205"
"textbook question answering","158","99","101","62.65822784810127","63.92405063291139"
"numeric commonsense","144","48","68","33.33333333333333","47.22222222222222"
"arithmetic reasoning","353","97","183","27.47875354107649","51.84135977337111"
"visual question answering","179","89","88","49.72067039106145","49.162011173184354"
"geometry reasoning","239","164","124","68.6192468619247","51.88284518828452"
"algebraic reasoning","281","191","148","67.97153024911033","52.66903914590747"
"geometry problem solving","208","155","108","74.51923076923077","51.92307692307693"
"math word problem","186","34","119","18.27956989247312","63.97849462365591"
"logical reasoning","37","20","9","54.054054054054056","24.324324324324326"
"figure question answering","269","113","166","42.00743494423792","61.71003717472119"
"statistical reasoning","301","107","216","35.548172757475086","71.76079734219269"
