"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","661","724","66.10000000000001","72.39999999999999"
"scientific reasoning","122","89","84","72.95081967213115","68.85245901639344"
"textbook question answering","158","101","116","63.92405063291139","73.41772151898735"
"numeric commonsense","144","49","71","34.02777777777778","49.30555555555556"
"arithmetic reasoning","353","209","247","59.20679886685553","69.97167138810198"
"visual question answering","179","102","109","56.98324022346368","60.893854748603346"
"geometry reasoning","239","153","175","64.01673640167364","73.22175732217573"
"algebraic reasoning","281","180","207","64.05693950177937","73.66548042704626"
"geometry problem solving","208","144","156","69.23076923076923","75.0"
"math word problem","186","116","152","62.365591397849464","81.72043010752688"
"logical reasoning","37","19","11","51.35135135135135","29.72972972972973"
"figure question answering","269","198","191","73.60594795539033","71.00371747211895"
"statistical reasoning","301","234","244","77.74086378737542","81.06312292358804"
