"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","746","612","74.6","61.199999999999996"
"scientific reasoning","122","98","79","80.32786885245902","64.75409836065575"
"textbook question answering","158","119","98","75.31645569620254","62.0253164556962"
"numeric commonsense","144","63","60","43.75","41.66666666666667"
"arithmetic reasoning","353","202","209","57.22379603399433","59.20679886685553"
"visual question answering","179","104","103","58.10055865921788","57.54189944134078"
"geometry reasoning","239","221","122","92.46861924686193","51.04602510460251"
"algebraic reasoning","281","251","144","89.32384341637011","51.245551601423486"
"geometry problem solving","208","203","106","97.59615384615384","50.96153846153846"
"math word problem","186","122","123","65.59139784946237","66.12903225806451"
"logical reasoning","37","25","9","67.56756756756756","24.324324324324326"
"figure question answering","269","198","182","73.60594795539033","67.65799256505576"
"statistical reasoning","301","216","223","71.76079734219269","74.08637873754152"
