"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","569","401","56.89999999999999","40.1"
"scientific reasoning","122","94","60","77.04918032786885","49.18032786885246"
"textbook question answering","158","107","79","67.72151898734177","50.0"
"numeric commonsense","144","43","50","29.86111111111111","34.72222222222222"
"arithmetic reasoning","353","110","117","31.1614730878187","33.14447592067989"
"visual question answering","179","95","64","53.072625698324025","35.754189944134076"
"geometry reasoning","239","220","100","92.05020920502092","41.84100418410041"
"algebraic reasoning","281","239","112","85.05338078291815","39.8576512455516"
"geometry problem solving","208","203","84","97.59615384615384","40.38461538461539"
"math word problem","186","31","75","16.666666666666664","40.32258064516129"
"logical reasoning","37","24","7","64.86486486486487","18.91891891891892"
"figure question answering","269","133","99","49.44237918215613","36.80297397769517"
"statistical reasoning","301","123","109","40.863787375415285","36.21262458471761"
