"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","451","54.0","45.1"
"scientific reasoning","122","94","82","77.04918032786885","67.21311475409836"
"textbook question answering","158","107","89","67.72151898734177","56.32911392405063"
"numeric commonsense","144","39","30","27.083333333333332","20.833333333333336"
"arithmetic reasoning","353","99","94","28.04532577903683","26.628895184135974"
"visual question answering","179","92","86","51.39664804469274","48.04469273743017"
"geometry reasoning","239","212","175","88.70292887029288","73.22175732217573"
"algebraic reasoning","281","239","192","85.05338078291815","68.32740213523132"
"geometry problem solving","208","203","168","97.59615384615384","80.76923076923077"
"math word problem","186","22","16","11.827956989247312","8.60215053763441"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","116","92","43.12267657992565","34.20074349442379"
"statistical reasoning","301","106","100","35.21594684385382","33.222591362126245"
