"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","543","359","54.300000000000004","35.9"
"scientific reasoning","122","94","52","77.04918032786885","42.62295081967213"
"textbook question answering","158","107","56","67.72151898734177","35.44303797468354"
"numeric commonsense","144","39","27","27.083333333333332","18.75"
"arithmetic reasoning","353","99","106","28.04532577903683","30.02832861189802"
"visual question answering","179","92","58","51.39664804469274","32.402234636871505"
"geometry reasoning","239","212","100","88.70292887029288","41.84100418410041"
"algebraic reasoning","281","239","105","85.05338078291815","37.36654804270463"
"geometry problem solving","208","203","89","97.59615384615384","42.78846153846153"
"math word problem","186","22","55","11.827956989247312","29.56989247311828"
"logical reasoning","37","24","9","64.86486486486487","24.324324324324326"
"figure question answering","269","119","101","44.237918215613384","37.54646840148699"
"statistical reasoning","301","109","107","36.21262458471761","35.548172757475086"
