"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","646","54.0","64.60000000000001"
"scientific reasoning","122","94","75","77.04918032786885","61.47540983606557"
"textbook question answering","158","107","100","67.72151898734177","63.29113924050633"
"numeric commonsense","144","39","67","27.083333333333332","46.52777777777778"
"arithmetic reasoning","353","99","202","28.04532577903683","57.22379603399433"
"visual question answering","179","92","94","51.39664804469274","52.513966480446925"
"geometry reasoning","239","212","165","88.70292887029288","69.0376569037657"
"algebraic reasoning","281","239","186","85.05338078291815","66.19217081850533"
"geometry problem solving","208","203","145","97.59615384615384","69.71153846153845"
"math word problem","186","22","134","11.827956989247312","72.04301075268818"
"logical reasoning","37","24","9","64.86486486486487","24.324324324324326"
"figure question answering","269","116","173","43.12267657992565","64.31226765799256"
"statistical reasoning","301","106","218","35.21594684385382","72.42524916943522"
