"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","579","372","57.9","37.2"
"scientific reasoning","122","91","58","74.59016393442623","47.540983606557376"
"textbook question answering","158","106","70","67.08860759493672","44.303797468354425"
"numeric commonsense","144","67","49","46.52777777777778","34.02777777777778"
"arithmetic reasoning","353","145","125","41.07648725212464","35.41076487252124"
"visual question answering","179","101","58","56.424581005586596","32.402234636871505"
"geometry reasoning","239","181","95","75.73221757322176","39.74895397489539"
"algebraic reasoning","281","200","100","71.17437722419929","35.587188612099645"
"geometry problem solving","208","163","80","78.36538461538461","38.46153846153847"
"math word problem","186","79","91","42.473118279569896","48.924731182795696"
"logical reasoning","37","25","7","67.56756756756756","18.91891891891892"
"figure question answering","269","130","73","48.3271375464684","27.137546468401485"
"statistical reasoning","301","120","94","39.8671096345515","31.22923588039867"
