"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","546","541","54.6","54.1"
"scientific reasoning","122","89","68","72.95081967213115","55.73770491803278"
"textbook question answering","158","100","85","63.29113924050633","53.79746835443038"
"numeric commonsense","144","36","45","25.0","31.25"
"arithmetic reasoning","353","148","211","41.92634560906516","59.773371104815865"
"visual question answering","179","92","97","51.39664804469274","54.18994413407822"
"geometry reasoning","239","145","98","60.66945606694561","41.00418410041841"
"algebraic reasoning","281","170","112","60.4982206405694","39.8576512455516"
"geometry problem solving","208","136","81","65.38461538461539","38.94230769230769"
"math word problem","186","67","116","36.02150537634409","62.365591397849464"
"logical reasoning","37","14","3","37.83783783783784","8.108108108108109"
"figure question answering","269","151","162","56.13382899628253","60.223048327137555"
"statistical reasoning","301","151","213","50.16611295681063","70.7641196013289"
