"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","361","688","36.1","68.8"
"scientific reasoning","122","48","83","39.34426229508197","68.0327868852459"
"textbook question answering","158","49","108","31.0126582278481","68.35443037974683"
"numeric commonsense","144","41","70","28.47222222222222","48.61111111111111"
"arithmetic reasoning","353","65","222","18.413597733711047","62.889518413597735"
"visual question answering","179","59","87","32.960893854748605","48.60335195530726"
"geometry reasoning","239","155","161","64.85355648535564","67.36401673640168"
"algebraic reasoning","281","167","187","59.430604982206404","66.54804270462633"
"geometry problem solving","208","149","141","71.63461538461539","67.78846153846155"
"math word problem","186","17","154","9.13978494623656","82.79569892473118"
"logical reasoning","37","4","12","10.81081081081081","32.432432432432435"
"figure question answering","269","87","198","32.342007434944236","73.60594795539033"
"statistical reasoning","301","90","247","29.900332225913623","82.05980066445183"
