model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,1.2,0.8,,0.8,20,boolq
ai21_j2-jumbo,1.2,0.7,,0.7,20,boolq
ai21_j2-large,1.2,0.6,,0.6,20,boolq
openai_gpt-3.5-turbo-0301,1.2,0.65,,0.65,20,boolq
together_redpajama-incite-base-3b-v1,0.0,1.0,,1.0,20,boolq
writer_palmyra-instruct-30,1.2,0.7,,0.7,20,boolq
writer_palmyra-x,1.2,0.9,,0.9,20,boolq
ai21_j2-grande,0.9,0.8,,0.8,20,boolq
ai21_j2-jumbo,0.9,0.7,,0.7,20,boolq
ai21_j2-large,0.9,0.75,,0.75,20,boolq
openai_gpt-3.5-turbo-0301,0.9,0.65,,0.65,20,boolq
together_redpajama-incite-base-3b-v1,0.0,0.875,,0.875,20,boolq
writer_palmyra-instruct-30,0.9,0.75,,0.75,20,boolq
writer_palmyra-x,0.9,0.85,,0.85,20,boolq
ai21_j2-grande,0.8,0.7,,0.7,20,boolq
ai21_j2-jumbo,0.8,0.8,,0.8,20,boolq
ai21_j2-large,0.8,0.75,,0.75,20,boolq
openai_gpt-3.5-turbo-0301,0.8,0.65,,0.65,20,boolq
together_redpajama-incite-base-3b-v1,0.0,0.5555555555555556,,0.5555555555555556,20,boolq
writer_palmyra-instruct-30,0.8,0.65,,0.65,20,boolq
writer_palmyra-x,0.8,0.95,,0.95,20,boolq
ai21_j2-grande,0.8,0.7,,0.7,20,boolq
ai21_j2-jumbo,0.8,0.85,,0.85,20,boolq
ai21_j2-large,0.8,0.7,,0.7,20,boolq
openai_gpt-3.5-turbo-0301,0.8,0.5,,0.5,20,boolq
together_redpajama-incite-base-3b-v1,0.0,0.3333333333333333,,0.3333333333333333,20,boolq
writer_palmyra-instruct-30,0.8,0.8,,0.8,20,boolq
writer_palmyra-x,0.8,0.95,,0.95,20,boolq
ai21_j2-grande,1.0,0.9,,0.9,20,boolq
ai21_j2-jumbo,1.0,0.85,,0.85,20,boolq
ai21_j2-large,1.0,0.65,,0.65,20,boolq
openai_gpt-3.5-turbo-0301,1.0,0.75,,0.75,20,boolq
together_redpajama-incite-base-3b-v1,0.0,0.5,,0.5,20,boolq
writer_palmyra-instruct-30,1.0,0.75,,0.75,20,boolq
writer_palmyra-x,1.0,0.95,,0.95,20,boolq
ai21_j2-grande,1.0,0.95,,0.95,20,boolq
ai21_j2-jumbo,1.0,0.9,,0.9,20,boolq
ai21_j2-large,1.0,0.7,,0.7,20,boolq
openai_gpt-3.5-turbo-0301,1.0,0.8,,0.8,20,boolq
together_redpajama-incite-base-3b-v1,0.0,0.5714285714285714,,0.5714285714285714,20,boolq
writer_palmyra-instruct-30,1.0,0.75,,0.75,20,boolq
writer_palmyra-x,1.0,0.9,,0.9,20,boolq
ai21_j2-grande,0.95,0.9,,0.9,20,boolq
ai21_j2-jumbo,0.95,0.9,,0.9,20,boolq
ai21_j2-large,0.95,0.75,,0.75,20,boolq
openai_gpt-3.5-turbo-0301,0.95,0.65,,0.65,20,boolq
together_redpajama-incite-base-3b-v1,0.0,0.8,,0.8,20,boolq
writer_palmyra-instruct-30,0.95,0.8,,0.8,20,boolq
writer_palmyra-x,0.95,0.95,,0.95,20,boolq
ai21_j2-grande,1.15,0.9,,0.9,20,boolq
ai21_j2-jumbo,1.15,0.85,,0.85,20,boolq
ai21_j2-large,1.15,0.5,,0.5,20,boolq
openai_gpt-3.5-turbo-0301,1.15,0.8,,0.8,20,boolq
together_redpajama-incite-base-3b-v1,0.0,1.0,,1.0,20,boolq
writer_palmyra-instruct-30,1.15,0.7,,0.7,20,boolq
writer_palmyra-x,1.15,0.9,,0.9,20,boolq
ai21_j2-grande,1.15,0.95,,0.95,20,boolq
ai21_j2-jumbo,1.15,0.95,,0.95,20,boolq
ai21_j2-large,1.15,0.65,,0.65,20,boolq
openai_gpt-3.5-turbo-0301,1.15,0.8,,0.8,20,boolq
together_redpajama-incite-base-3b-v1,0.0,0.6666666666666666,,0.6666666666666666,20,boolq
writer_palmyra-instruct-30,1.15,0.6,,0.6,20,boolq
writer_palmyra-x,1.15,0.9,,0.9,20,boolq
ai21_j2-grande,1.0,0.85,,0.85,20,boolq
ai21_j2-jumbo,1.0,0.9,,0.9,20,boolq
ai21_j2-large,1.0,0.7,,0.7,20,boolq
openai_gpt-3.5-turbo-0301,1.0,0.9,,0.9,20,boolq
together_redpajama-incite-base-3b-v1,0.0,0.6666666666666666,,0.6666666666666666,20,boolq
writer_palmyra-instruct-30,1.0,0.65,,0.65,20,boolq
writer_palmyra-x,1.0,0.95,,0.95,20,boolq
