"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","691","640","69.1","64.0"
"scientific reasoning","122","95","81","77.8688524590164","66.39344262295081"
"textbook question answering","158","107","108","67.72151898734177","68.35443037974683"
"numeric commonsense","144","59","58","40.97222222222222","40.27777777777778"
"arithmetic reasoning","353","161","179","45.609065155807365","50.70821529745042"
"visual question answering","179","102","75","56.98324022346368","41.899441340782126"
"geometry reasoning","239","213","182","89.1213389121339","76.15062761506276"
"algebraic reasoning","281","239","205","85.05338078291815","72.95373665480427"
"geometry problem solving","208","203","163","97.59615384615384","78.36538461538461"
"math word problem","186","80","122","43.01075268817204","65.59139784946237"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","199","172","73.97769516728626","63.94052044609665"
"statistical reasoning","301","198","217","65.78073089700996","72.09302325581395"
