"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","550","561","55.00000000000001","56.10000000000001"
"scientific reasoning","122","89","68","72.95081967213115","55.73770491803278"
"textbook question answering","158","101","88","63.92405063291139","55.69620253164557"
"numeric commonsense","144","39","46","27.083333333333332","31.944444444444443"
"arithmetic reasoning","353","143","204","40.50991501416431","57.79036827195468"
"visual question answering","179","91","93","50.83798882681564","51.955307262569825"
"geometry reasoning","239","151","110","63.17991631799163","46.02510460251046"
"algebraic reasoning","281","179","129","63.70106761565836","45.90747330960854"
"geometry problem solving","208","143","94","68.75","45.19230769230769"
"math word problem","186","67","118","36.02150537634409","63.44086021505376"
"logical reasoning","37","18","6","48.64864864864865","16.216216216216218"
"figure question answering","269","148","168","55.01858736059479","62.45353159851301"
"statistical reasoning","301","144","216","47.840531561461795","71.76079734219269"
