"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","568","337","56.8","33.7"
"scientific reasoning","122","94","36","77.04918032786885","29.508196721311474"
"textbook question answering","158","107","55","67.72151898734177","34.810126582278485"
"numeric commonsense","144","39","41","27.083333333333332","28.47222222222222"
"arithmetic reasoning","353","120","97","33.994334277620396","27.47875354107649"
"visual question answering","179","92","53","51.39664804469274","29.608938547486037"
"geometry reasoning","239","213","72","89.1213389121339","30.125523012552303"
"algebraic reasoning","281","239","90","85.05338078291815","32.028469750889684"
"geometry problem solving","208","203","62","97.59615384615384","29.807692307692307"
"math word problem","186","43","67","23.118279569892472","36.02150537634409"
"logical reasoning","37","24","4","64.86486486486487","10.81081081081081"
"figure question answering","269","123","100","45.72490706319702","37.174721189591075"
"statistical reasoning","301","113","113","37.54152823920266","37.54152823920266"
