"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","299","54.0","29.9"
"scientific reasoning","122","94","46","77.04918032786885","37.704918032786885"
"textbook question answering","158","107","59","67.72151898734177","37.34177215189873"
"numeric commonsense","144","39","40","27.083333333333332","27.77777777777778"
"arithmetic reasoning","353","99","103","28.04532577903683","29.178470254957507"
"visual question answering","179","92","61","51.39664804469274","34.07821229050279"
"geometry reasoning","239","212","76","88.70292887029288","31.799163179916317"
"algebraic reasoning","281","239","79","85.05338078291815","28.11387900355872"
"geometry problem solving","208","203","60","97.59615384615384","28.846153846153843"
"math word problem","186","22","57","11.827956989247312","30.64516129032258"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","116","62","43.12267657992565","23.04832713754647"
"statistical reasoning","301","106","71","35.21594684385382","23.588039867109632"
