"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","460","456","46.0","45.6"
"scientific reasoning","122","88","65","72.1311475409836","53.278688524590166"
"textbook question answering","158","98","74","62.0253164556962","46.835443037974684"
"numeric commonsense","144","34","42","23.61111111111111","29.166666666666668"
"arithmetic reasoning","353","100","139","28.328611898016998","39.376770538243626"
"visual question answering","179","91","88","50.83798882681564","49.162011173184354"
"geometry reasoning","239","152","105","63.59832635983263","43.93305439330544"
"algebraic reasoning","281","175","122","62.27758007117438","43.41637010676156"
"geometry problem solving","208","143","98","68.75","47.11538461538461"
"math word problem","186","20","62","10.75268817204301","33.33333333333333"
"logical reasoning","37","17","4","45.94594594594595","10.81081081081081"
"figure question answering","269","108","134","40.14869888475837","49.814126394052046"
"statistical reasoning","301","105","168","34.883720930232556","55.81395348837209"
