"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","432","534","43.2","53.400000000000006"
"scientific reasoning","122","76","66","62.295081967213115","54.09836065573771"
"textbook question answering","158","88","87","55.69620253164557","55.06329113924051"
"numeric commonsense","144","32","49","22.22222222222222","34.02777777777778"
"arithmetic reasoning","353","95","150","26.912181303116146","42.492917847025495"
"visual question answering","179","86","70","48.04469273743017","39.10614525139665"
"geometry reasoning","239","151","154","63.17991631799163","64.43514644351464"
"algebraic reasoning","281","176","170","62.63345195729537","60.4982206405694"
"geometry problem solving","208","144","137","69.23076923076923","65.86538461538461"
"math word problem","186","20","98","10.75268817204301","52.68817204301075"
"logical reasoning","37","13","3","35.13513513513514","8.108108108108109"
"figure question answering","269","94","142","34.94423791821561","52.78810408921933"
"statistical reasoning","301","95","187","31.561461794019934","62.12624584717608"
