"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","656","448","65.60000000000001","44.800000000000004"
"scientific reasoning","122","95","66","77.8688524590164","54.09836065573771"
"textbook question answering","158","107","84","67.72151898734177","53.16455696202531"
"numeric commonsense","144","48","41","33.33333333333333","28.47222222222222"
"arithmetic reasoning","353","143","119","40.50991501416431","33.711048158640224"
"visual question answering","179","100","64","55.865921787709496","35.754189944134076"
"geometry reasoning","239","214","98","89.5397489539749","41.00418410041841"
"algebraic reasoning","281","239","120","85.05338078291815","42.704626334519574"
"geometry problem solving","208","203","88","97.59615384615384","42.30769230769231"
"math word problem","186","55","58","29.56989247311828","31.182795698924732"
"logical reasoning","37","24","3","64.86486486486487","8.108108108108109"
"figure question answering","269","191","154","71.00371747211895","57.249070631970255"
"statistical reasoning","301","196","184","65.11627906976744","61.12956810631229"
