"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","440","199","44.0","19.900000000000002"
"scientific reasoning","122","74","29","60.65573770491803","23.770491803278688"
"textbook question answering","158","89","39","56.32911392405063","24.68354430379747"
"numeric commonsense","144","29","10","20.13888888888889","6.944444444444445"
"arithmetic reasoning","353","95","62","26.912181303116146","17.56373937677054"
"visual question answering","179","88","46","49.162011173184354","25.69832402234637"
"geometry reasoning","239","160","54","66.94560669456067","22.594142259414227"
"algebraic reasoning","281","181","69","64.41281138790036","24.555160142348754"
"geometry problem solving","208","152","52","73.07692307692307","25.0"
"math word problem","186","13","15","6.989247311827956","8.064516129032258"
"logical reasoning","37","21","5","56.75675675675676","13.513513513513514"
"figure question answering","269","98","47","36.43122676579926","17.472118959107807"
"statistical reasoning","301","88","47","29.2358803986711","15.614617940199334"
