"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","577","277","57.699999999999996","27.700000000000003"
"scientific reasoning","122","94","47","77.04918032786885","38.52459016393443"
"textbook question answering","158","109","65","68.9873417721519","41.139240506329116"
"numeric commonsense","144","47","37","32.63888888888889","25.694444444444443"
"arithmetic reasoning","353","122","92","34.56090651558073","26.062322946175637"
"visual question answering","179","101","64","56.424581005586596","35.754189944134076"
"geometry reasoning","239","213","61","89.1213389121339","25.523012552301257"
"algebraic reasoning","281","240","77","85.40925266903915","27.402135231316727"
"geometry problem solving","208","202","54","97.11538461538461","25.961538461538463"
"math word problem","186","35","32","18.817204301075268","17.20430107526882"
"logical reasoning","37","24","7","64.86486486486487","18.91891891891892"
"figure question answering","269","130","62","48.3271375464684","23.04832713754647"
"statistical reasoning","301","123","68","40.863787375415285","22.591362126245848"
