"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","629","451","62.9","45.1"
"scientific reasoning","122","95","58","77.8688524590164","47.540983606557376"
"textbook question answering","158","110","74","69.62025316455697","46.835443037974684"
"numeric commonsense","144","58","50","40.27777777777778","34.72222222222222"
"arithmetic reasoning","353","165","151","46.742209631728045","42.77620396600567"
"visual question answering","179","103","91","57.54189944134078","50.83798882681564"
"geometry reasoning","239","172","104","71.96652719665272","43.51464435146444"
"algebraic reasoning","281","198","117","70.46263345195729","41.637010676156585"
"geometry problem solving","208","159","94","76.4423076923077","45.19230769230769"
"math word problem","186","82","67","44.086021505376344","36.02150537634409"
"logical reasoning","37","26","5","70.27027027027027","13.513513513513514"
"figure question answering","269","175","125","65.05576208178438","46.468401486988846"
"statistical reasoning","301","173","137","57.475083056478404","45.51495016611295"
