"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","555","412","55.50000000000001","41.199999999999996"
"scientific reasoning","122","92","72","75.40983606557377","59.01639344262295"
"textbook question answering","158","104","82","65.82278481012658","51.89873417721519"
"numeric commonsense","144","40","24","27.77777777777778","16.666666666666664"
"arithmetic reasoning","353","144","128","40.79320113314447","36.26062322946176"
"visual question answering","179","93","75","51.955307262569825","41.899441340782126"
"geometry reasoning","239","173","120","72.38493723849372","50.2092050209205"
"algebraic reasoning","281","198","137","70.46263345195729","48.754448398576514"
"geometry problem solving","208","163","112","78.36538461538461","53.84615384615385"
"math word problem","186","64","56","34.40860215053764","30.107526881720432"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","131","87","48.698884758364315","32.342007434944236"
"statistical reasoning","301","121","94","40.19933554817276","31.22923588039867"
