"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","509","331","50.9","33.1"
"scientific reasoning","122","91","34","74.59016393442623","27.86885245901639"
"textbook question answering","158","104","49","65.82278481012658","31.0126582278481"
"numeric commonsense","144","39","27","27.083333333333332","18.75"
"arithmetic reasoning","353","99","99","28.04532577903683","28.04532577903683"
"visual question answering","179","92","55","51.39664804469274","30.726256983240223"
"geometry reasoning","239","190","97","79.49790794979079","40.58577405857741"
"algebraic reasoning","281","217","112","77.22419928825623","39.8576512455516"
"geometry problem solving","208","181","88","87.01923076923077","42.30769230769231"
"math word problem","186","23","47","12.365591397849462","25.268817204301076"
"logical reasoning","37","17","3","45.94594594594595","8.108108108108109"
"figure question answering","269","109","92","40.520446096654275","34.20074349442379"
"statistical reasoning","301","106","106","35.21594684385382","35.21594684385382"
