"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","491","461","49.1","46.1"
"scientific reasoning","122","89","70","72.95081967213115","57.377049180327866"
"textbook question answering","158","102","88","64.55696202531645","55.69620253164557"
"numeric commonsense","144","39","45","27.083333333333332","31.25"
"arithmetic reasoning","353","98","145","27.762039660056658","41.07648725212464"
"visual question answering","179","91","70","50.83798882681564","39.10614525139665"
"geometry reasoning","239","175","120","73.22175732217573","50.2092050209205"
"algebraic reasoning","281","203","140","72.24199288256227","49.8220640569395"
"geometry problem solving","208","167","105","80.28846153846155","50.480769230769226"
"math word problem","186","22","86","11.827956989247312","46.236559139784944"
"logical reasoning","37","17","5","45.94594594594595","13.513513513513514"
"figure question answering","269","109","112","40.520446096654275","41.63568773234201"
"statistical reasoning","301","106","158","35.21594684385382","52.49169435215947"
